,participant,response,SAT,contrast,exp,givenResp
0,10,1,-0.5,0.5,1,0.5
1,10,1,-0.5,0.0,1,0.5
2,10,1,-0.5,-0.25,1,-0.5
3,10,1,-0.5,-0.5,1,-0.5
4,10,1,-0.5,0.5,1,0.5
5,10,1,-0.5,0.0,1,-0.5
6,10,1,-0.5,-0.5,1,-0.5
7,10,1,-0.5,-0.25,1,-0.5
8,10,1,-0.5,0.5,1,0.5
9,10,0,-0.5,0.25,1,-0.5
10,10,1,-0.5,-0.25,1,0.5
11,10,0,-0.5,-0.5,1,-0.5
12,10,0,-0.5,0.25,1,-0.5
13,10,1,-0.5,-0.25,1,-0.5
14,10,0,-0.5,-0.5,1,-0.5
15,10,0,-0.5,-0.5,1,0.5
16,10,0,-0.5,-0.25,1,0.5
17,10,1,-0.5,0.25,1,0.5
18,10,0,-0.5,-0.25,1,-0.5
19,10,0,-0.5,0.0,1,0.5
20,10,0,-0.5,0.25,1,-0.5
21,10,1,-0.5,0.5,1,-0.5
22,10,1,-0.5,0.5,1,0.5
23,10,0,-0.5,-0.5,1,-0.5
24,10,1,-0.5,0.5,1,-0.5
25,10,0,-0.5,-0.5,1,0.5
26,10,1,-0.5,0.0,1,0.5
27,10,1,-0.5,0.5,1,0.5
28,10,1,-0.5,-0.5,1,-0.5
29,10,1,-0.5,-0.5,1,-0.5
30,10,0,-0.5,0.0,1,-0.5
31,10,1,-0.5,0.25,1,0.5
32,10,1,-0.5,0.25,1,0.5
33,10,1,-0.5,0.5,1,0.5
34,10,0,-0.5,-0.25,1,-0.5
35,10,1,-0.5,0.25,1,0.5
36,10,0,-0.5,0.0,1,-0.5
37,10,1,-0.5,-0.25,1,-0.5
38,10,1,-0.5,0.0,1,-0.5
39,10,1,-0.5,0.25,1,-0.5
40,10,0,-0.5,0.0,1,-0.5
41,10,1,-0.5,0.5,1,0.5
42,10,1,-0.5,0.0,1,-0.5
43,10,1,-0.5,0.5,1,-0.5
44,10,1,-0.5,0.5,1,-0.5
45,10,1,-0.5,0.5,1,0.5
46,10,1,-0.5,0.25,1,-0.5
47,10,0,-0.5,-0.5,1,-0.5
48,10,1,-0.5,0.25,1,-0.5
49,10,1,-0.5,-0.25,1,-0.5
50,10,1,-0.5,0.0,1,0.5
51,10,0,-0.5,-0.5,1,-0.5
52,10,1,-0.5,-0.25,1,-0.5
53,10,1,-0.5,0.25,1,-0.5
54,10,1,-0.5,0.5,1,0.5
55,10,0,-0.5,-0.25,1,-0.5
56,10,1,-0.5,-0.25,1,0.5
57,10,0,-0.5,-0.25,1,-0.5
58,10,1,-0.5,0.25,1,0.5
59,10,1,-0.5,-0.5,1,-0.5
60,10,1,-0.5,0.25,1,0.5
61,10,1,-0.5,0.5,1,-0.5
62,10,1,-0.5,0.25,1,-0.5
63,10,0,-0.5,-0.5,1,-0.5
64,10,1,-0.5,0.0,1,0.5
65,10,1,-0.5,-0.25,1,-0.5
66,10,1,-0.5,0.0,1,-0.5
67,10,1,-0.5,0.5,1,-0.5
68,10,1,-0.5,0.25,1,0.5
69,10,1,-0.5,0.25,1,-0.5
70,10,1,-0.5,0.5,1,-0.5
71,10,1,-0.5,0.0,1,-0.5
72,10,1,-0.5,0.5,1,-0.5
73,10,1,-0.5,0.25,1,-0.5
74,10,1,-0.5,0.0,1,0.5
75,10,0,-0.5,-0.5,1,-0.5
76,10,1,-0.5,0.25,1,-0.5
77,10,1,-0.5,0.5,1,-0.5
78,10,1,-0.5,0.0,1,-0.5
79,10,0,-0.5,-0.5,1,-0.5
80,10,0,-0.5,-0.5,1,-0.5
81,10,1,-0.5,-0.25,1,0.5
82,10,0,-0.5,-0.25,1,-0.5
83,10,0,-0.5,-0.5,1,-0.5
84,10,1,-0.5,0.5,1,0.5
85,10,1,-0.5,0.25,1,-0.5
86,10,1,-0.5,0.5,1,-0.5
87,10,1,-0.5,-0.5,1,-0.5
88,10,1,-0.5,0.25,1,-0.5
89,10,1,-0.5,-0.25,1,-0.5
90,10,1,-0.5,0.0,1,-0.5
91,10,1,-0.5,-0.25,1,0.5
92,10,1,-0.5,0.0,1,-0.5
93,10,1,-0.5,-0.25,1,-0.5
94,10,1,-0.5,-0.5,1,-0.5
95,10,1,-0.5,0.0,1,-0.5
96,10,0,-0.5,0.0,1,-0.5
97,10,0,-0.5,0.0,1,-0.5
98,10,0,-0.5,-0.25,1,-0.5
99,10,1,-0.5,-0.5,1,-0.5
100,10,0,-0.5,0.5,1,-0.5
101,10,1,-0.5,0.25,1,0.5
102,10,1,-0.5,-0.25,1,-0.5
103,10,1,-0.5,0.0,1,-0.5
104,10,0,-0.5,0.0,1,-0.5
105,10,1,-0.5,-0.5,1,-0.5
106,10,1,-0.5,0.0,1,-0.5
107,10,1,-0.5,-0.25,1,-0.5
108,10,0,-0.5,0.0,1,-0.5
109,10,0,-0.5,-0.25,1,-0.5
110,10,1,-0.5,0.5,1,0.5
111,10,1,-0.5,-0.5,1,-0.5
112,10,1,-0.5,0.5,1,0.5
113,10,0,-0.5,-0.25,1,-0.5
114,10,1,-0.5,0.0,1,0.5
115,10,1,-0.5,0.5,1,-0.5
116,10,1,-0.5,0.5,1,0.5
117,10,1,-0.5,0.0,1,-0.5
118,10,1,-0.5,0.25,1,0.5
119,10,1,-0.5,0.5,1,0.5
120,10,1,-0.5,0.0,1,-0.5
121,10,1,-0.5,0.5,1,0.5
122,10,0,-0.5,0.0,1,0.5
123,10,1,-0.5,0.25,1,0.5
124,10,0,-0.5,-0.5,1,-0.5
125,10,1,-0.5,0.5,1,-0.5
126,10,1,-0.5,0.25,1,0.5
127,10,0,-0.5,-0.5,1,0.5
128,10,0,-0.5,-0.25,1,-0.5
129,10,1,-0.5,-0.25,1,0.5
130,10,1,-0.5,0.0,1,0.5
131,10,1,-0.5,-0.25,1,-0.5
132,10,1,-0.5,0.25,1,-0.5
133,10,1,-0.5,0.25,1,0.5
134,10,1,-0.5,0.25,1,-0.5
135,10,1,-0.5,-0.5,1,0.5
136,10,1,-0.5,0.25,1,-0.5
137,10,0,-0.5,-0.5,1,0.5
138,10,1,-0.5,0.25,1,-0.5
139,10,0,-0.5,-0.25,1,-0.5
140,10,0,-0.5,-0.25,1,-0.5
141,10,1,-0.5,0.25,1,-0.5
142,10,1,-0.5,0.0,1,-0.5
143,10,1,-0.5,0.5,1,0.5
144,10,1,-0.5,0.25,1,0.5
145,10,1,-0.5,-0.5,1,0.5
146,10,1,-0.5,0.0,1,0.5
147,10,1,-0.5,-0.5,1,-0.5
148,10,1,-0.5,0.0,1,0.5
149,10,1,-0.5,0.0,1,-0.5
150,10,0,-0.5,-0.5,1,-0.5
151,10,0,-0.5,-0.5,1,-0.5
152,10,1,-0.5,0.0,1,0.5
153,10,1,-0.5,0.5,1,-0.5
154,10,1,-0.5,0.0,1,0.5
155,10,0,-0.5,0.25,1,-0.5
156,10,1,-0.5,0.25,1,-0.5
157,10,1,-0.5,-0.5,1,0.5
158,10,1,-0.5,-0.25,1,-0.5
159,10,1,-0.5,0.5,1,0.5
160,10,0,-0.5,-0.25,1,-0.5
161,10,0,-0.5,0.5,1,0.5
162,10,1,-0.5,0.0,1,-0.5
163,10,1,-0.5,0.25,1,-0.5
164,10,1,-0.5,0.5,1,-0.5
165,10,1,-0.5,-0.5,1,-0.5
166,10,1,-0.5,0.0,1,0.5
167,10,0,-0.5,0.25,1,-0.5
168,10,1,-0.5,-0.25,1,0.5
169,10,1,-0.5,-0.5,1,-0.5
170,10,1,-0.5,0.5,1,0.5
171,10,1,-0.5,-0.25,1,-0.5
172,10,0,-0.5,0.5,1,0.5
173,10,1,-0.5,0.5,1,-0.5
174,10,0,-0.5,0.0,1,0.5
175,10,1,-0.5,0.25,1,0.5
176,10,1,-0.5,0.0,1,0.5
177,10,0,-0.5,-0.25,1,0.5
178,10,1,-0.5,0.25,1,-0.5
179,10,0,-0.5,-0.5,1,0.5
180,10,0,-0.5,-0.5,1,-0.5
181,10,0,-0.5,0.5,1,0.5
182,10,0,-0.5,-0.5,1,-0.5
183,10,1,-0.5,-0.25,1,0.5
184,10,0,-0.5,-0.25,1,0.5
185,10,1,-0.5,0.0,1,-0.5
186,10,1,-0.5,-0.25,1,0.5
187,10,0,-0.5,0.5,1,-0.5
188,10,0,-0.5,-0.5,1,-0.5
189,10,0,-0.5,0.25,1,0.5
190,10,0,-0.5,-0.5,1,0.5
191,10,1,-0.5,-0.5,1,0.5
192,10,1,-0.5,0.5,1,-0.5
193,10,1,-0.5,0.5,1,-0.5
194,10,0,-0.5,0.0,1,-0.5
195,10,1,-0.5,0.25,1,0.5
196,10,0,-0.5,0.0,1,-0.5
197,10,0,-0.5,0.25,1,0.5
198,10,1,-0.5,0.5,1,0.5
199,10,0,-0.5,-0.5,1,-0.5
200,10,0,-0.5,-0.25,1,0.5
201,10,1,-0.5,0.5,1,-0.5
202,10,1,-0.5,0.5,1,0.5
203,10,1,-0.5,0.5,1,-0.5
204,10,1,-0.5,0.25,1,0.5
205,10,1,-0.5,0.0,1,-0.5
206,10,0,-0.5,-0.5,1,0.5
207,10,0,-0.5,-0.5,1,-0.5
208,10,1,-0.5,0.5,1,-0.5
209,10,0,-0.5,-0.5,1,-0.5
210,10,0,-0.5,-0.25,1,-0.5
211,10,1,-0.5,-0.5,1,-0.5
212,10,1,-0.5,0.0,1,-0.5
213,10,0,-0.5,0.5,1,0.5
214,10,1,-0.5,0.5,1,-0.5
215,10,1,-0.5,-0.25,1,-0.5
216,10,0,-0.5,-0.5,1,0.5
217,10,1,-0.5,0.0,1,-0.5
218,10,1,-0.5,0.25,1,-0.5
219,10,0,-0.5,-0.5,1,-0.5
220,10,1,-0.5,0.0,1,0.5
221,10,0,-0.5,-0.5,1,0.5
222,10,0,-0.5,0.0,1,0.5
223,10,0,-0.5,-0.25,1,-0.5
224,10,1,-0.5,0.5,1,0.5
225,10,1,-0.5,0.0,1,0.5
226,10,1,-0.5,0.5,1,0.5
227,10,1,-0.5,0.5,1,0.5
228,10,0,-0.5,0.25,1,0.5
229,10,0,-0.5,-0.25,1,-0.5
230,10,0,-0.5,-0.25,1,0.5
231,10,1,-0.5,0.5,1,0.5
232,10,1,-0.5,0.5,1,0.5
233,10,0,-0.5,0.25,1,-0.5
234,10,0,-0.5,-0.25,1,0.5
235,10,1,-0.5,0.0,1,0.5
236,10,0,-0.5,-0.25,1,0.5
237,10,0,-0.5,0.5,1,-0.5
238,10,1,-0.5,0.25,1,0.5
239,10,0,-0.5,0.25,1,-0.5
240,10,0,-0.5,-0.25,1,0.5
241,10,0,-0.5,-0.5,1,0.5
242,10,0,-0.5,-0.25,1,-0.5
243,10,1,-0.5,-0.25,1,-0.5
244,10,1,-0.5,0.25,1,-0.5
245,10,1,0.5,0.5,1,-0.5
246,10,0,0.5,-0.5,1,-0.5
247,10,1,0.5,-0.25,1,-0.5
248,10,1,0.5,0.25,1,-0.5
249,10,0,0.5,-0.5,1,-0.5
250,10,0,0.5,-0.5,1,-0.5
251,10,1,0.5,-0.5,1,-0.5
252,10,1,0.5,-0.25,1,-0.5
253,10,1,0.5,0.25,1,-0.5
254,10,1,0.5,0.0,1,-0.5
255,10,1,0.5,0.25,1,0.5
256,10,0,0.5,-0.5,1,0.5
257,10,1,0.5,0.25,1,-0.5
258,10,0,0.5,-0.5,1,-0.5
259,10,1,0.5,0.25,1,0.5
260,10,1,0.5,0.25,1,0.5
261,10,1,0.5,0.0,1,0.5
262,10,1,0.5,0.5,1,0.5
263,10,1,0.5,0.0,1,-0.5
264,10,1,0.5,-0.25,1,-0.5
265,10,1,0.5,0.0,1,0.5
266,10,0,0.5,0.0,1,-0.5
267,10,0,0.5,-0.25,1,-0.5
268,10,0,0.5,-0.25,1,0.5
269,10,1,0.5,-0.5,1,0.5
270,10,1,0.5,-0.5,1,-0.5
271,10,1,0.5,0.25,1,0.5
272,10,1,0.5,-0.5,1,-0.5
273,10,0,0.5,-0.25,1,0.5
274,10,1,0.5,0.0,1,-0.5
275,10,1,0.5,0.5,1,-0.5
276,10,0,0.5,-0.5,1,-0.5
277,10,1,0.5,0.0,1,-0.5
278,10,0,0.5,0.0,1,-0.5
279,10,1,0.5,0.25,1,0.5
280,10,1,0.5,0.25,1,-0.5
281,10,1,0.5,-0.25,1,-0.5
282,10,1,0.5,0.5,1,0.5
283,10,0,0.5,0.0,1,0.5
284,10,0,0.5,0.0,1,-0.5
285,10,1,0.5,0.0,1,0.5
286,10,1,0.5,0.5,1,-0.5
287,10,0,0.5,0.0,1,-0.5
288,10,0,0.5,-0.25,1,-0.5
289,10,0,0.5,-0.25,1,-0.5
290,10,1,0.5,0.5,1,0.5
291,10,0,0.5,-0.5,1,0.5
292,10,1,0.5,-0.25,1,-0.5
293,10,1,0.5,0.5,1,-0.5
294,10,1,0.5,0.5,1,0.5
295,10,1,0.5,0.0,1,-0.5
296,10,1,0.5,0.25,1,0.5
297,10,1,0.5,-0.5,1,-0.5
298,10,0,0.5,-0.5,1,-0.5
299,10,1,0.5,-0.25,1,0.5
300,10,0,0.5,-0.5,1,0.5
301,10,0,0.5,-0.5,1,-0.5
302,10,1,0.5,0.5,1,0.5
303,10,0,0.5,0.0,1,-0.5
304,10,1,0.5,0.25,1,-0.5
305,10,1,0.5,0.25,1,0.5
306,10,1,0.5,0.25,1,-0.5
307,10,0,0.5,-0.5,1,0.5
308,10,1,0.5,0.25,1,-0.5
309,10,1,0.5,0.0,1,-0.5
310,10,1,0.5,0.25,1,-0.5
311,10,1,0.5,0.25,1,-0.5
312,10,1,0.5,0.5,1,-0.5
313,10,1,0.5,0.5,1,-0.5
314,10,0,0.5,-0.25,1,-0.5
315,10,1,0.5,0.25,1,0.5
316,10,1,0.5,0.5,1,-0.5
317,10,1,0.5,0.5,1,0.5
318,10,1,0.5,0.5,1,-0.5
319,10,1,0.5,0.5,1,-0.5
320,10,1,0.5,0.25,1,-0.5
321,10,1,0.5,0.0,1,-0.5
322,10,1,0.5,0.5,1,0.5
323,10,0,0.5,-0.25,1,-0.5
324,10,1,0.5,-0.25,1,-0.5
325,10,1,0.5,0.0,1,-0.5
326,10,0,0.5,-0.25,1,-0.5
327,10,1,0.5,0.25,1,0.5
328,10,0,0.5,-0.25,1,-0.5
329,10,0,0.5,0.0,1,-0.5
330,10,1,0.5,-0.25,1,-0.5
331,10,1,0.5,0.5,1,0.5
332,10,0,0.5,-0.5,1,-0.5
333,10,1,0.5,-0.5,1,-0.5
334,10,0,0.5,-0.5,1,-0.5
335,10,1,0.5,0.25,1,-0.5
336,10,1,0.5,0.5,1,-0.5
337,10,1,0.5,0.0,1,-0.5
338,10,1,0.5,0.5,1,-0.5
339,10,0,0.5,-0.5,1,-0.5
340,10,1,0.5,-0.5,1,-0.5
341,10,1,0.5,0.25,1,-0.5
342,10,1,0.5,0.0,1,0.5
343,10,0,0.5,-0.5,1,-0.5
344,10,1,0.5,0.5,1,-0.5
345,10,0,0.5,-0.5,1,-0.5
346,10,1,0.5,0.5,1,-0.5
347,10,1,0.5,-0.5,1,-0.5
348,10,1,0.5,0.5,1,0.5
349,10,1,0.5,-0.25,1,-0.5
350,10,1,0.5,0.0,1,-0.5
351,10,0,0.5,0.0,1,-0.5
352,10,1,0.5,0.5,1,-0.5
353,10,1,0.5,-0.25,1,0.5
354,10,0,0.5,-0.25,1,-0.5
355,10,1,0.5,0.5,1,0.5
356,10,1,0.5,-0.25,1,-0.5
357,10,1,0.5,-0.25,1,-0.5
358,10,1,0.5,0.5,1,-0.5
359,10,1,0.5,0.25,1,-0.5
360,10,1,0.5,0.25,1,0.5
361,10,1,0.5,0.5,1,0.5
362,10,1,0.5,-0.25,1,-0.5
363,10,0,0.5,-0.25,1,0.5
364,10,1,0.5,0.25,1,0.5
365,10,1,0.5,0.0,1,0.5
366,10,1,0.5,0.0,1,0.5
367,10,0,0.5,-0.5,1,0.5
368,10,0,0.5,-0.25,1,0.5
369,10,1,0.5,-0.5,1,-0.5
370,10,0,0.5,0.0,1,-0.5
371,10,0,0.5,-0.25,1,-0.5
372,10,1,0.5,0.5,1,-0.5
373,10,1,0.5,0.0,1,-0.5
374,10,1,0.5,0.5,1,0.5
375,10,0,0.5,-0.25,1,-0.5
376,10,1,0.5,0.5,1,0.5
377,10,1,0.5,0.25,1,-0.5
378,10,1,0.5,0.0,1,-0.5
379,10,1,0.5,-0.25,1,-0.5
380,10,1,0.5,0.25,1,0.5
381,10,0,0.5,-0.5,1,-0.5
382,10,1,0.5,0.25,1,-0.5
383,10,1,0.5,0.0,1,-0.5
384,10,0,0.5,0.0,1,-0.5
385,10,1,0.5,0.25,1,-0.5
386,10,0,0.5,0.25,1,-0.5
387,10,1,0.5,0.25,1,-0.5
388,10,1,0.5,0.5,1,0.5
389,10,1,0.5,-0.25,1,0.5
390,10,1,0.5,0.5,1,0.5
391,10,0,0.5,-0.5,1,-0.5
392,10,1,0.5,0.25,1,0.5
393,10,1,0.5,0.0,1,0.5
394,10,1,0.5,0.5,1,-0.5
395,10,0,0.5,-0.5,1,-0.5
396,10,0,0.5,0.0,1,0.5
397,10,0,0.5,-0.5,1,-0.5
398,10,1,0.5,-0.5,1,-0.5
399,10,1,0.5,-0.25,1,-0.5
400,10,0,0.5,-0.5,1,0.5
401,10,1,0.5,0.0,1,0.5
402,10,1,0.5,0.5,1,-0.5
403,10,1,0.5,-0.5,1,-0.5
404,10,1,0.5,0.25,1,-0.5
405,10,0,0.5,-0.5,1,-0.5
406,10,1,0.5,0.0,1,0.5
407,10,1,0.5,-0.25,1,-0.5
408,10,1,0.5,-0.5,1,-0.5
409,10,1,0.5,0.0,1,-0.5
410,10,1,0.5,0.0,1,0.5
411,10,1,0.5,-0.25,1,0.5
412,10,0,0.5,-0.25,1,-0.5
413,10,1,0.5,0.25,1,-0.5
414,10,0,0.5,-0.25,1,-0.5
415,10,0,0.5,-0.5,1,0.5
416,10,1,0.5,0.5,1,0.5
417,10,0,0.5,-0.25,1,0.5
418,10,0,0.5,-0.25,1,-0.5
419,10,0,0.5,-0.5,1,-0.5
420,10,1,0.5,-0.25,1,-0.5
421,10,1,0.5,0.5,1,-0.5
422,10,1,0.5,0.5,1,-0.5
423,10,1,0.5,-0.25,1,-0.5
424,10,1,0.5,0.0,1,0.5
425,10,0,0.5,-0.5,1,-0.5
426,10,0,0.5,-0.5,1,-0.5
427,10,0,0.5,-0.5,1,-0.5
428,10,1,0.5,0.0,1,0.5
429,10,1,0.5,0.25,1,0.5
430,10,1,0.5,0.5,1,0.5
431,10,1,0.5,0.0,1,0.5
432,10,1,0.5,-0.25,1,-0.5
433,10,0,0.5,-0.25,1,-0.5
434,10,1,0.5,0.5,1,0.5
435,10,1,0.5,-0.5,1,-0.5
436,10,1,0.5,0.25,1,-0.5
437,10,1,0.5,-0.25,1,-0.5
438,10,0,0.5,-0.5,1,-0.5
439,10,1,0.5,0.25,1,0.5
440,10,1,0.5,0.5,1,-0.5
441,10,1,0.5,0.5,1,0.5
442,10,1,0.5,0.25,1,0.5
443,10,1,0.5,0.0,1,0.5
444,10,0,0.5,0.25,1,-0.5
445,10,1,0.5,0.5,1,-0.5
446,10,0,0.5,0.25,1,0.5
447,10,1,0.5,0.5,1,0.5
448,10,0,0.5,-0.5,1,0.5
449,10,1,0.5,0.5,1,0.5
450,10,1,0.5,-0.5,1,-0.5
451,10,1,0.5,0.25,1,-0.5
452,10,1,0.5,0.5,1,0.5
453,10,0,0.5,-0.25,1,-0.5
454,10,1,0.5,-0.25,1,0.5
455,10,0,0.5,-0.25,1,-0.5
456,10,0,0.5,0.0,1,-0.5
457,10,1,0.5,0.0,1,-0.5
458,10,1,0.5,0.5,1,0.5
459,10,1,0.5,-0.25,1,-0.5
460,10,1,0.5,0.5,1,-0.5
461,10,1,0.5,-0.25,1,0.5
462,10,1,0.5,-0.25,1,0.5
463,10,1,0.5,0.0,1,-0.5
464,10,0,0.5,0.0,1,-0.5
465,10,0,0.5,0.5,1,0.5
466,10,1,-0.5,0.25,1,-0.5
467,10,0,-0.5,-0.25,1,-0.5
468,10,1,-0.5,0.5,1,-0.5
469,10,1,-0.5,0.25,1,-0.5
470,10,1,-0.5,-0.5,1,0.5
471,10,1,-0.5,0.5,1,-0.5
472,10,1,-0.5,0.0,1,-0.5
473,10,0,-0.5,-0.25,1,-0.5
474,10,1,-0.5,0.0,1,-0.5
475,10,1,-0.5,0.25,1,0.5
476,10,1,-0.5,0.5,1,-0.5
477,10,1,-0.5,-0.25,1,-0.5
478,10,0,-0.5,-0.25,1,0.5
479,10,1,-0.5,0.5,1,-0.5
480,10,1,-0.5,-0.25,1,0.5
481,10,0,-0.5,0.25,1,0.5
482,10,1,-0.5,0.5,1,-0.5
483,10,0,-0.5,0.0,1,-0.5
484,10,1,-0.5,-0.5,1,-0.5
485,10,0,-0.5,0.0,1,-0.5
486,10,0,-0.5,0.5,1,-0.5
487,10,1,-0.5,-0.5,1,0.5
488,10,1,-0.5,0.0,1,-0.5
489,10,0,-0.5,0.0,1,-0.5
490,10,1,-0.5,-0.25,1,-0.5
491,10,0,-0.5,0.0,1,-0.5
492,10,0,-0.5,-0.5,1,-0.5
493,10,1,-0.5,0.5,1,-0.5
494,10,1,-0.5,0.25,1,-0.5
495,10,1,-0.5,0.25,1,-0.5
496,10,1,-0.5,0.25,1,-0.5
497,10,1,-0.5,0.25,1,0.5
498,10,1,-0.5,0.0,1,-0.5
499,10,1,-0.5,0.0,1,0.5
500,10,0,-0.5,-0.5,1,0.5
501,10,1,-0.5,0.5,1,0.5
502,10,1,-0.5,0.25,1,0.5
503,10,0,-0.5,0.25,1,-0.5
504,10,0,-0.5,0.5,1,-0.5
505,10,0,-0.5,0.5,1,0.5
506,10,1,-0.5,0.5,1,0.5
507,10,1,-0.5,0.0,1,0.5
508,10,1,-0.5,-0.25,1,-0.5
509,10,0,-0.5,0.0,1,0.5
510,10,1,-0.5,0.0,1,-0.5
511,10,1,-0.5,-0.25,1,-0.5
512,10,0,-0.5,0.0,1,-0.5
513,10,0,-0.5,-0.5,1,0.5
514,10,0,-0.5,-0.5,1,-0.5
515,10,0,-0.5,-0.5,1,-0.5
516,10,1,-0.5,0.0,1,-0.5
517,10,0,-0.5,-0.5,1,-0.5
518,10,0,-0.5,0.0,1,-0.5
519,10,1,-0.5,0.5,1,-0.5
520,10,0,-0.5,0.25,1,-0.5
521,10,1,-0.5,-0.5,1,-0.5
522,10,0,-0.5,-0.25,1,-0.5
523,10,0,-0.5,-0.5,1,-0.5
524,10,1,-0.5,0.25,1,-0.5
525,10,0,-0.5,-0.25,1,-0.5
526,10,0,-0.5,-0.25,1,0.5
527,10,1,-0.5,-0.25,1,-0.5
528,10,1,-0.5,0.5,1,-0.5
529,10,1,-0.5,0.0,1,-0.5
530,10,1,-0.5,-0.25,1,0.5
531,10,1,-0.5,0.25,1,0.5
532,10,0,-0.5,-0.25,1,0.5
533,10,0,-0.5,0.25,1,0.5
534,10,1,-0.5,0.0,1,0.5
535,10,0,-0.5,-0.25,1,0.5
536,10,1,-0.5,0.0,1,-0.5
537,10,0,-0.5,-0.5,1,0.5
