contraste,corr_ans,trigger,condition
.01,left,11,O
.30,left,15,O
.30,right,25,O
.025,left,12,O
.07,right,23,O
.025,right,22,O
.15,right,24,O
.01,right,21,O
.07,left,13,O
.15,left,14,O
.07,left,13,O
.01,right,21,O
.30,left,15,O
.025,right,22,O
.30,right,25,O
.15,right,24,O
.025,left,12,O
.01,left,11,O
.15,left,14,O
.07,right,23,O
.30,right,25,O
.025,left,12,O
.025,right,22,O
.15,left,14,O
.30,left,15,O
.15,right,24,O
.01,left,11,O
.01,right,21,O
.07,left,13,O
.07,right,23,O
.15,left,14,O
.025,left,12,O
.07,right,23,O
.025,right,22,O
.30,left,15,O
.15,right,24,O
.01,right,21,O
.07,left,13,O
.01,left,11,O
.30,right,25,O
.07,left,113,V
.01,right,121,V
.025,right,122,V
.30,left,115,V
.025,left,112,V
.01,left,111,V
.30,right,125,V
.07,right,123,V
.15,left,114,V
.15,right,124,V
.01,left,111,V
.30,left,115,V
.025,right,122,V
.01,right,121,V
.15,right,124,V
.07,left,113,V
.30,right,125,V
.025,left,112,V
.15,left,114,V
.07,right,123,V
.30,right,225,P
.01,right,221,P
.025,left,212,P
.15,left,214,P
.07,right,223,P
.30,left,215,P
.01,left,211,P
.07,left,213,P
.025,right,222,P
.15,right,224,P
.01,left,211,P
.07,left,213,P
.30,left,215,P
.025,left,212,P
.15,right,224,P
.01,right,221,P
.15,left,214,P
.07,right,223,P
.025,right,222,P
.30,right,225,P
.025,right,122,V
.15,right,124,V
.07,right,123,V
.01,left,111,V
.07,left,113,V
.15,left,114,V
.30,left,115,V
.025,left,112,V
.30,right,125,V
.01,right,121,V
.30,left,115,V
.07,left,113,V
.01,right,121,V
.01,left,111,V
.15,left,114,V
.07,right,123,V
.30,right,125,V
.025,left,112,V
.025,right,122,V
.15,right,124,V
.07,right,223,P
.025,right,222,P
.30,left,215,P
.30,right,225,P
.15,right,224,P
.025,left,212,P
.07,left,213,P
.01,right,221,P
.15,left,214,P
.01,left,211,P
.01,left,211,P
.07,right,223,P
.01,right,221,P
.30,left,215,P
.025,left,212,P
.15,left,214,P
.15,right,224,P
.07,left,213,P
.30,right,225,P
.025,right,222,P
